Acc. status	Latitude	Longitude	Elevation	Taxon	Taxon	Province/Department	Country
Active	-12.53333	-76.73333	40	L. peruvianum	S. peruvianum	Lima	Peru
Active	-10.8	-77.73333	50	L. peruvianum	S. peruvianum	Lima	Peru
Active	-17.20833	-70.975	250	L. chilense	S. chilense	Moquegua	Peru
Active	-9.95	-78.21667	60-90	L. peruvianum	S. peruvianum	Ancash	Peru
Active	-18	-70.23333	600	L. chilense	S. chilense	Tacna	Peru
Active	-11.96667	-76.78333	200	L. peruvianum	S. peruvianum	Lima	Peru
Active	-10.8	-77.73333	50	L. peruvianum	S. peruvianum	Lima	Peru
Active	-9.93694	-78.21833	60	L. peruvianum	S. peruvianum	Ancash	Peru
Active	-13.45	-76.13333	80	L. peruvianum	S. peruvianum	Ica	Peru
Active	-15.80833	-74.38333	150	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-15.86667	-74.18333	300	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-16.27778	-71.65944	2000	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-17.03333	-71.62917	1200	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-17.03333	-71.62917	1200	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-17.25	-71.2	200	L. chilense	S. chilense	Moquegua	Peru
Active	-17.96667	-70.18333	800	L. chilense	S. chilense	Tacna	Peru
Active	-17.81111	-69.99889	2500	L. chilense	S. chilense	Tacna	Peru
Active	-18.58333	-70	300	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-18.41667	-70.15	250	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-25.44167	-70.49167	1000-1200	L. chilense	S. chilense	Antofagasta	Chile
Active	-16.225	-73.61667	50	L. pennellii	S. pennellii	Arequipa	Peru
Active	-14.77528	-75.03417	550	L. pennellii var. puberulum	S. pennellii	Ica	Peru
Active	-12.02083	-76.63333	1200	L. pennellii	S. pennellii	Lima	Peru
Active	-12.07222	-76.64889	1200	L. chilense	S. chilense	Lima	Peru
Active	-17.16667	-70.9	1600	L. chilense	S. chilense	Moquegua	Peru
Active	-17.75833	-70.17417	1700	L. chilense	S. chilense	Tacna	Peru
Active	-12	-76.93333	 	L. peruvianum	S. peruvianum	Lima	Peru
Active	-11.475	-77.10833	500	L. peruvianum	S. peruvianum	Lima	Peru
Active	-11.52	-77	1000	L. pennellii	S. pennellii	Lima	Peru
Active	-11.5	-76.98333	1000	L. pennellii	S. pennellii	Lima	Peru
Active	-11.53333	-77	850	L. pennellii	S. pennellii	Lima	Peru
Active	-11.64167	-76.95833	800	L. pennellii	S. pennellii	Lima	Peru
Active	-11.64167	-76.95833	800	L. peruvianum	S. peruvianum	Lima	Peru
Active	-12.025	-76.64167	1200	L. pennellii	S. pennellii	Lima	Peru
Active	-11.7	-76.82	1000	L. pennellii	S. pennellii	Lima	Peru
Active	-11.65	-76.70833	1200	L. pennellii	S. pennellii	Lima	Peru
Active	-13.63333	-75.71667	700	L. pennellii	S. pennellii	Ica	Peru
Active	-13.56667	-75.53333	1550	L. pennellii	S. pennellii	Huancavelica	Peru
Active	-16.5625	-72.625	700	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-16.2625	-73.5	10	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-15.79583	-74.3625	200	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-12.83472	-75.92917	1050	L. pennellii	S. pennellii	Lima	Peru
Active	-9.07667	-78.16722	660	L. pennellii	S. pennellii	Ancash	Peru
Active	-11.89222	-76.65389	1000	L. pennellii	S. pennellii	Lima	Peru
Active	-11.83333	-76.625	1430	L. peruvianum	S. peruvianum	Lima	Peru
Active	-10.96667	-77.05	1000	L. pennellii	S. pennellii	Lima	Peru
Active	-16.36667	-73.01667	1300	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-15.78333	-73.63333	600	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-11.04528	-77.11889	800	L. pennellii	S. pennellii	Lima	Peru
Active	-11.35	-77.33333	 	L. peruvianum	S. peruvianum	Lima	Peru
Active	-11.08333	-77.16667	800	L. pennellii	S. pennellii	Lima	Peru
Active	-11.36667	-77.325	 	L. pennellii	S. pennellii	Lima	Peru
Active	-18.5	-70.25	46	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-12.13333	-76.96667	250	L. peruvianum	S. peruvianum	Lima	Peru
Active	-12.08333	-76.91667	350	L. peruvianum	S. peruvianum	Lima	Peru
Active	-14.63833	-74.99056	580	L. pennellii var. puberulum	S. pennellii	Ica	Peru
Active	-13.35	-75.71667	1000	L. pennellii	S. pennellii	Ica	Peru
Active	-9.46667	-78.13333	700	L. pennellii	S. pennellii	Ancash	Peru
Active	-13.18333	-76.13333	500	L. pennellii	S. pennellii	Lima	Peru
Active	-12.66861	-75.96556	2000	L. peruvianum	S. peruvianum	Lima	Peru
Active	-12.85778	-76.01167	900	L. pennellii	S. pennellii	Lima	Peru
Active	-13.65	-75.71667	800	L. pennellii	S. pennellii	Ica	Peru
Active	-13.38333	-75.75833	800	L. pennellii	S. pennellii	Huancavelica	Peru
Active	-12.83333	-75.91667	1000	L. pennellii	S. pennellii	Lima	Peru
Active	-12.76667	-75.91667	1200	L. pennellii	S. pennellii	Lima	Peru
Active	-12.78333	-75.93333	1300	L. pennellii	S. pennellii	Lima	Peru
Active	-11.7	-76.8	975	L. peruvianum	S. peruvianum	Lima	Peru
Active	-9.53333	-77.96667	750	L. pennellii	S. pennellii	Ancash	Peru
Active	-15.36667	-74.625	 	L. chilense	S. chilense	Arequipa	Peru
Active	-5.11667	-81.15	10	L. pennellii	S. pennellii	Piura	Peru
Active	-14.44333	-75.22111	640	L. pennellii var. puberulum	S. pennellii	Ica	Peru
Active	-14.44917	-75.22028	720	L. pennellii var. puberulum	S. pennellii	Ica	Peru
Active	-14.39833	-75.20056	900	L. peruvianum	S. peruvianum	Ica	Peru
Active	-14.26667	-74.91667	2600	L. chilense	S. chilense	Ayacucho	Peru
Active	-14.23333	-75.1	900	L. pennellii var. puberulum	S. pennellii	Ayacucho	Peru
Active	-14.58333	-74.975	1200	L. pennellii var. puberulum	S. pennellii	Ica	Peru
Active	-14.55	-75.06667	1100	L. peruvianum	S. peruvianum	Ica	Peru
Active	-15.29167	-74.6	500	L. chilense	S. chilense	Arequipa	Peru
Active	-15.30028	-74.57833	1500	L. chilense	S. chilense	Arequipa	Peru
Active	-15.41667	-74.7	1100	L. chilense	S. chilense	Arequipa	Peru
Active	-15.8	-74.38333	200	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-15.68333	-73.83333	1400	L. chilense	S. chilense	Arequipa	Peru
Active	-15.975	-73.61667	720	L. pennellii	S. pennellii	Arequipa	Peru
Active	-15.83333	-73.575	1100	L. pennellii	S. pennellii	Arequipa	Peru
Active	-15.81667	-73.5	1650	L. pennellii	S. pennellii	Arequipa	Peru
Active	-15.83333	-73.46667	1900	L. pennellii	S. pennellii	Arequipa	Peru
Active	-15.81889	-73.39778	1940	L. pennellii	S. pennellii	Arequipa	Peru
Active	-16.22083	-73.69778	20	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-16.36167	-73.27778	50	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-16.46028	-73.08917	65	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-16.56667	-72.625	500-800	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-17.01667	-72.08333	50	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-16.9675	-71.93361	400	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-17.25	-71.25	1250	L. chilense	S. chilense	Moquegua	Peru
Active	-17.18583	-71.0175	1280	L. chilense	S. chilense	Moquegua	Peru
Active	-17.08333	-70.86667	1850	L. chilense	S. chilense	Moquegua	Peru
Active	-17.23333	-70.61667	3200	L. chilense	S. chilense	Tacna	Peru
Active	-17.95	-70.31667	750	L. chilense	S. chilense	Tacna	Peru
Active	-18.06667	-70.31667	200	L. chilense	S. chilense	Tacna	Peru
Active	-17.76667	-69.93889	2950	L. chilense	S. chilense	Tacna	Peru
Active	-17.89722	-70.15528	1000	L. chilense	S. chilense	Tacna	Peru
Active	-17.76167	-70.17639	1680	L. chilense	S. chilense	Tacna	Peru
Active	-17.55278	-70.02833	3250	L. chilense	S. chilense	Tacna	Peru
Active	-17.46528	-70.0425	2960	L. chilense	S. chilense	Tacna	Peru
Active	-17.58806	-70.03806	3000-3150	L. chilense	S. chilense	Tacna	Peru
Active	-17.83861	-70.52611	650	L. chilense	S. chilense	Tacna	Peru
Active	-12.12194	-76.46444	1950	L. peruvianum	S. peruvianum	Lima	Peru
Active	-18.71667	-69.66667	2600	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.58333	-69.5	3000	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.45	-69.76667	2400	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-8.66667	-78.30778	350	L. pennellii	S. pennellii	Ancash	Peru
Active	-9.51667	-78.00833	650	L. pennellii	S. pennellii	Ancash	Peru
Active	-18.8	-70.18333	300	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-5.83333	-81.01667	30	L. pennellii	S. pennellii	Piura	Peru
Active	-12.27139	-76.49083	1520	L. pennellii	S. pennellii	Lima	Peru
Active	-12.83972	-75.97	920	L. pennellii	S. pennellii	Lima	Peru
Active	-19.38333	-69.55	1700	L. chilense	S. chilense	Tarapaca	CHILE
Active	-19.35	-69.51667	1750	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.35	-69.51667	1750	L. peruvianum	S. peruvianum	Tarapaca	Chile
Active	-19.25	-69.41667	2400	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.25	-69.41667	3000	L. chilense	S. chilense	Tarapaca	Chile
Active	-18.57583	-70.05944	320	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.55	-70.15	400	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-18.58333	-69.93333	600	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-18.58333	-69.93333	600	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.58333	-69.9	800	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-21.21333	-69.54778	800	L. chilense	S. chilense	Tarapaca	Chile
Active	-22.16917	-70.21222	400	L. chilense	S. chilense	Antofagasta	Chile
Active	-22.07028	-70.16306	300	L. chilense	S. chilense	Antofagasta	Chile
Active	-19.86444	-69.43	1500	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.85639	-69.33722	1650	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.77472	-69.28222	2600-2900	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.68417	-69.18111	3200	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.7675	-69.27444	2850	L. chilense	S. chilense	Tarapaca	Chile
Active	-20.06667	-69.22139	2700	L. chilense	S. chilense	Tarapaca	Chile
Active	-20.05	-69.21667	2500	L. chilense	S. chilense	Tarapaca	Chile
Active	-18.83333	-69.75	2000	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.76667	-69.68333	2400	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.81667	-69.68333	2200	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.85	-69.7	2000	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.4	-69.7	50	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-18.47583	-69.8625	1800	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.33333	-69.58333	3400	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.25	-69.6	3100	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.38333	-69.55	2900	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.46667	-69.51667	3100	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.49611	-69.51694	3200	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-14.76667	-74.81667	1000-1200	L. peruvianum	S. peruvianum	Ica	Peru
Active	-23.68528	-68.06139	2500	L. chilense	S. chilense	Antofagasta	Chile
Active	-23.81667	-68.21667	2500	L. chilense	S. chilense	Antofagasta	Chile
Active	-23.57722	-67.93361	2700	L. chilense	S. chilense	Antofagasta	Chile
Active	-23.4	-67.95	2500	L. chilense	S. chilense	Antofagasta	Chile
Active	-22.24778	-68.36083	2900	L. chilense	S. chilense	Antofagasta	Chile
Active	-25.24083	-70.43472	50	L. chilense	S. chilense	Antofagasta	Chile
Active	-25.01667	-70.45	450	L. chilense	S. chilense	Antofagasta	Chile
Active	-25.4875	-70.42389	500	L. chilense	S. chilense	Antofagasta	Chile
Active	-25.5	-70.41667	550	L. chilense	S. chilense	Antofagasta	Chile
Active	-20.91667	-69.06667	2275	L. chilense	S. chilense	Tarapaca	Chile
Active	-22.46806	-70.225	300-400	L. chilense	S. chilense	Antofagasta	Chile
Active	-20.91667	-69.05	2400	L. chilense	S. chilense	Tarapaca	Chile
Active	-20.91667	-69.05	2300	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.68333	-69.18333	3350	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.33333	-69.5	2420	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.35	-69.51667	1850	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.35	-69.51667	1850	L. peruvianum	S. peruvianum	Tarapaca	Chile
Active	-18.75	-70.33333	20	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-18.75	-70.33333	300	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-16.025	-72.49028	1200-1300	L. pennellii	S. pennellii	Arequipa	Peru
Active	-18.02833	-70.835	50-100	L. peruvianum	S. peruvianum	Tacna	Peru
Active	-17.85	-70.05833	1200	L. chilense	S. chilense	Tacna	Peru
Active	-17.09833	-70.86028	2200	L. chilense	S. chilense	Moquegua	Peru
Active	-17.05	-70.83972	3000	L. chilense	S. chilense	Moquegua	Peru
Active	-17.46667	-70.03333	3070	L. chilense	S. chilense	Tacna	Peru
Active	-17.53333	-70.03333	3200	L. chilense	S. chilense	Tacna	Peru
Active	-17.5625	-70.02972	3500	L. chilense	S. chilense	Tacna	Peru
Active	-17.67639	-70.08444	2690	L. chilense	S. chilense	Tacna	Peru
Active	-17.80528	-70.22111	1100	L. chilense	S. chilense	Tacna	Peru
Active	-17.07167	-70.84944	2000	L. chilense	S. chilense	Moquegua	Peru
Active	-16.74444	-70.87778	1800	L. chilense	S. chilense	Moquegua	Peru
Active	-16.95	-72.08333	400-600	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-17.05	-71.75	300-400	L. peruvianum	S. peruvianum	Arequipa	Peru
Active	-18.05	-70.3	500	L. chilense	S. chilense	Tacna	Peru
Active	-18.01667	-70.26667	500	L. chilense	S. chilense	Tacna	Peru
Active	-18.05	-70.33333	 	L. chilense	S. chilense	Tacna	Peru
Active	-18.06667	-70.21667	 	L. chilense	S. chilense	Tacna	Peru
Active	-25.48139	-70.43278	446	L. chilense	S. chilense	Antofagasta	Chile
Active	-25.31889	-70.44611	86	L. chilense	S. chilense	Antofagasta	Chile
Active	-25.0525	-70.47583	80	L. chilense	S. chilense	Antofagasta	Chile
Active	-24.91417	-70.51611	75	L. chilense	S. chilense	Antofagasta	Chile
Active	-22.9075	-67.94083	3540	L. chilense	S. chilense	Antofagasta	Chile
Active	-22.9075	-67.94083	2730	L. chilense	S. chilense	Antofagasta	Chile
Active	-23.1575	-68.035	2440	L. chilense	S. chilense	Antofagasta	Chile
Active	-23.55389	-67.93389	2980	L. chilense	S. chilense	Antofagasta	Chile
Active	-20.79528	-69.04111	3170-3310	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.5425	-69.20194	3300	L. chilense	S. chilense	Tarapaca	Chile
Active	-19.30611	-69.42056	2510	L. peruvianum	S. peruvianum	Tarapaca	Chile
Active	-18.8725	-69.67333	2370	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.90806	-69.60417	2530	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.92583	-69.55056	2170-2290	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.41639	-70.31444	25	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-18.35111	-69.87694	1154	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-18.31861	-69.81639	1440	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.47917	-69.75944	1822	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.21806	-69.77417	3530	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-18.75444	-70.33028	5	L. peruvianum	S. peruvianum	Arica and Parinacota	Chile
Active	-18.935	-69.65472	1944	L. chilense	S. chilense	Arica and Parinacota	Chile
Active	-22.30889	-68.48056	2657	L. chilense	S. chilense	Antofagasta	Chile
Active	-22.35083	-68.31972	3126	L. chilense	S. chilense	Antofagasta	Chile
